"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U00";"ARDUINO_NANO_33_IOT_SMD_DUAL_ROW_SOCKET";1;"ARDUINO_NANO_33_IOT";;;
2;"REF**,REF**,REF**";"Fiducial_0.75mm_Dia_1.5mm_Outer";3;"Fiducial_0.75mm_Dia_1.5mm_Outer";;;
3;"Q00,Q01";"SOT-23";2;"BSS138";;;
4;"J13,J14";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
5;"J05,J08,J00,J01,J02,J03,J04,J06,J07,J09,J10,J11";"NS-Tech_Grove_1x04_P2mm_Vertical";12;"Conn_01x04";;;
6;"C00";"C_0805_2012Metric";1;"10uF";;;
7;"C01";"C_1206_3216Metric";1;"1uF";;;
8;"J12";"JST_S2B-PH-SM4-TB_LARGE";1;"Conn_01x02";;;
9;"JP00";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm";1;"SolderJumper_3_Bridged12";;;
10;"R00,R02,R03";"R_0603_1608Metric";3;"10K";;;
11;"R01";"R_0603_1608Metric";1;"2K";;;
12;"RN00,RN01";"CAY16-J4";2;"220R";;;
13;"SW00";"SW_SPDT_PCM12";1;"ON/OFF";;;
14;"U01";"SOT-23-5";1;"MCP73831-2";;;
15;"U03";"SOT-23-5";1;"MIC5216";;;
16;"H00,H01,H02,H03";"MountingHole_3.2mm_M3";4;"MountingHole";;;
17;"C02,C03";"C_0603_1608Metric";2;"100nF";;;
18;"D00,D01";"LED_RGB_PLCC-6";2;"LED_BGR";;;
